,_id,title,keywords,fos,abstract
669,53e997f8b7602d9701fffcb1,Global Software Development,"['Programming', 'Cultural differences', 'Globalization', 'Testing', 'Surface resistance', 'Global communication', 'Turning', 'Product design', 'Investments', 'Virtual groups']","['Economics', 'Market economy', 'Global software', 'Global software development', 'Multiculturalism', 'Globalization', 'Economic forces', 'Marketing', 'Software development', 'Software asset management', 'Social software engineering']","The last several decades have witnessed a steady, irreversible trend toward the globalization of business, and of software-intensive high-technology businesses in particular. Economic forces are relentlessly turning national markets into global markets and spawning new forms of competition and cooperation that reach across national boundaries. This change is having a profound impact not only on ma..."
725,53e997fcb7602d9702003e93,Information in conflicts,"['C72', 'D44', 'D72', 'D82', 'K41']","['Mathematical economics', 'Economics', 'Information asymmetry', 'CONTEST', 'Microeconomics', 'Lottery', 'Prior probability', 'Ex-ante', 'Special case']","We consider two-player contests for a prize of common but uncertain value. For settings where one player knows the value of the prize, while the other only knows its prior distribution, we give conditions for when the uninformed agent is ex ante strictly more likely to win the prize than is the informed agent. In the special case of a lottery contest, equilibrium expenditures are lower under asymmetric information than if either both agents are informed or neither agent is informed."
759,53e997fcb7602d97020065a3,Haggling over substitutes,"['L11', 'D42', 'C63']","['Mathematical economics', 'Economics', 'Microeconomics', 'Tariff']","Using a model of substitutable goods I determine generic conditions on tastes which guarantee that fixed prices are not optimal: the fully optimal tariff includes lotteries. That is, a profit maximising seller would employ a haggling strategy. We show that the fully optimal selling strategy in a class of cases requires a seller to not allow themselves to focus on one good but to remain haggling over more than one good. This throws new light on the selling strategies used in diverse industries. These insights are used to provide a counter-example to the no lotteries result of McAfee and McMillan (J. Econ. Theory 46 (1988) 335)."
860,53e99800b7602d970200f476,Economics of Crime.,"['network externality', 'economic value', 'customer retention', 'profitability']","['Criminal behavior', 'Customer retention', 'Economics', 'Deterrence theory', 'Economic analysis', 'Network effect', 'Knowledge management', 'Criminal law', 'Criminal justice', 'Business', 'Customer relationship management', 'Customer value', 'Cost structure', 'Imperfect', 'Blame', 'Actual practice', 'Profitability index', 'Enforcement', 'Criminology', 'Economics of crime']","<div class=""col-sm-9"">
                            <h4>Abstract</h4>
                            <p>This paper starts with a review the economics of criminal behavior. Then, the authors discuss the theory of public enforcement. The economic analysis of criminal behavior and criminal law has been a hugely successful enterprise. As an academic enterprise, it has achieved the goal of research—it has generated a large and growing literature. More important than academic success, however, has been the influence of this branch of learning on actual practice. The understanding of deterrence effects and rational responses by criminals has substantially changed the purpose and functioning of the criminal justice system.</p>
                            <div><strong>DOI:</strong>10.1561/0700000014</div>
                        </div>"
946,53e99803b7602d97020157f8,Farsighted network formation,"['A14', 'C70', 'D20']","['Dynamic network analysis', 'Network formation', 'Economics', 'Mathematical economics', 'Microeconomics', 'Valuation (finance)']",This paper studies a model of dynamic network formation when individuals are farsighted: players evaluate the desirability of a “current” move in terms of its consequences on the entire discounted stream of payoffs. We define a concept of equilibrium which takes into account farsighted behavior of agents and allows for limited cooperation amongst agents. We show that an equilibrium process of network formation exists. We also show that there are valuation structures in which no equilibrium strategy profile can sustain efficient networks. We then provide sufficient conditions under which the equilibrium process will yield efficient outcomes.
948,53e99803b7602d970201590d,Financing newsvendor inventory,"['capital-constrained newsvendor', 'capital-constrained coordination', 'non-linear loan schedule', 'newsvendor inventory', 'interest rate', 'newsvendor', 'stochastic inventory']","['Loan', 'Economics', 'Newsvendor model', 'Extended newsvendor model', 'Actuarial science', 'Interest rate', 'Equity (finance)', 'Supply chain finance']","If the cost of borrowing is not too high, the capital-constrained newsvendor borrows funds to procure an amount that is less than would be ideal. The lender charges an interest rate that decreases in the newsvendor's equity. Furthermore, we derived a non-linear loan schedule that coordinates the channel."
1166,53e99809b7602d970201f6db,Constrained school choice,"['C72', 'C78', 'D78', 'I20']","['Mathematical economics', 'Economics', 'Epsilon-equilibrium', 'Preference list', 'School choice', 'Microeconomics', 'Preference revelation', 'Top trading cycles', 'Nash equilibrium']","Recently, several school districts in the US have adopted or consider adopting the Student-Optimal Stable mechanism or the Top Trading Cycles mechanism to assign children to public schools. There is evidence that for school districts that employ (variants of) the so-called Boston mechanism the transition would lead to efficiency gains. The first two mechanisms are strategy-proof, but in practice student assignment procedures typically impede a student to submit a preference list that contains all his acceptable schools. We study the preference revelation game where students can only declare up to a fixed number of schools to be acceptable. We focus on the stability and efficiency of the Nash equilibrium outcomes. Our main results identify rather stringent necessary and sufficient conditions on the priorities to guarantee stability or efficiency of either of the two mechanisms. This stands in sharp contrast with the Boston mechanism which has been abandoned in many US school districts but nevertheless yields stable Nash equilibrium outcomes."
1284,53e9980eb7602d9702027b81,Distributed Welfare Games,"['distributed control history: the conference version of this paper appeared in marden and wierman 2008', 'welfare games', 'resource allocation', 'utility function', 'resource allocation problem', 'non-cooperative', 'popular design choice', 'desirable property', 'design choice', 'utility design methodology', 'admissible utility function', 'utility design', 'resource allocation algorithm', 'desirable game property', 'game theory']","['Economics', 'Mathematical optimization', 'Mathematical economics', 'Design choice', 'Resource allocation algorithm', 'Resource allocation', 'Application domain', 'Nash equilibrium', 'Welfare', 'Scalability']","Game-theoretic tools are becoming a popular design choice for distributed resource allocation algorithms. A central component of this design choice is the assignment of utility functions to the individual agents. The goal is to assign each agent an admissible utility function such that the resulting game possesses a host of desirable properties, including scalability, tractability, and existence and efficiency of pure Nash equilibria. In this paper we formally study this question of utility design on a class of games termed distributed welfare games. We identify several utility design methodologies that guarantee desirable game properties irrespective of the specific application domain. Lastly, we illustrate the results in this paper on two commonly studied classes of resource allocation problems: “coverage” problems and “coloring” problems."
1294,53e9980eb7602d9702028117,Dynamic variational preferences,"['C61', 'D81']","['Econometrics', 'Economics', 'Expected utility hypothesis', 'Time consistency', 'Robustness (computer science)', 'Multiplier (economics)', 'Robust control', 'Prior probability', 'Recursion', 'Ambiguity aversion']","We introduce and axiomatize dynamic variational preferences, the dynamic version of the variational preferences we axiomatized in [F. Maccheroni, M. Marinacci, A. Rustichini, Ambiguity aversion, robustness, and the variational representation of preferences, Mimeo, 2004], which generalize the multiple priors preferences of Gilboa and Schmeidler [Maxmin expected utility with a non-unique prior, J. Math. Econ. 18 (1989) 141–153], and include the Multiplier Preferences inspired by robust control and first used in macroeconomics by Hansen and Sargent (see [L.P. Hansen, T.J. Sargent, Robust control and model uncertainty, Amer. Econ. Rev. 91 (2001) 60–66]), as well as the classic Mean Variance Preferences of Markovitz and Tobin. We provide a condition that makes dynamic variational preferences time consistent, and their representation recursive. This gives them the analytical tractability needed in macroeconomic and financial applications. A corollary of our results is that Multiplier Preferences are time consistent, but Mean Variance Preferences are not."
1299,53e99813b7602d9702028885,Doubts or variability?,"['C12', 'C52', 'E13', 'E30']","['Economics', 'Equity premium puzzle', 'Expected utility hypothesis', 'Market price', 'Microeconomics', 'Risk aversion', 'Welfare', 'Specification']","Reinterpreting most of the market price of risk as a price of model uncertainty eradicates a link between asset prices and measures of the welfare costs of aggregate fluctuations that was proposed by Hansen, Sargent, and Tallarini [17], Tallarini [30], Alvarez and Jermann [1]. Prices of model uncertainty contain information about the benefits of removing model uncertainty, not the consumption fluctuations that Lucas [22], [23] studied. A max–min expected utility theory lets us reinterpret Tallarini's risk-aversion parameter as measuring a representative consumer's doubts about the model specification. We use model detection instead of risk-aversion experiments to calibrate that parameter. Plausible values of detection error probabilities give prices of model uncertainty that approach the Hansen and Jagannathan [11] bounds. Fixed detection error probabilities give rise to virtually identical asset prices as well as virtually identical costs of model uncertainty for Tallarini's two models of consumption growth."
1326,53e99813b7602d970202964f,Defensive Marketing Strategies,"['profitability', 'pricing', 'marketing strategy', 'spectrum', 'competition']","['Marketing management', 'Marketing science', 'USable', 'Product proliferation', 'Economics', 'Perception', 'Marketing', 'New product development', 'Profit (economics)']","This paper analyzes how a firm should adjust its marketing expenditures and its price to defend its position in an existing market from attack by a competitive new product. Our focus is to provide usable managerial recommendations on the strategy of response. In particular we show that if products can be represented by their position in a multiattribute space, consumers are heterogeneous and maximize utility, and awareness advertising and distribution can be summarized by response functions, then for the profit maximizing firm: it is optimal to decrease awareness advertising,it is optimal to decrease the distribution budget unless the new product can be kept out of the market,a price increase may be optimal, andeven under the optimal strategy, profits decrease as a result of the competitive new product. Furthermore, if the consumer tastes are uniformly distributed across the spectrum a price decrease increases defensive profits,it is optimal (at the margin) to improve product quality in the direction of the defending product's strength andit is optimal (at the margin) to reposition by advertising in the same direction. In addition we provide practical procedures to estimate (1) the distribution of consumer tastes and (2) the position of the new product in perceptual space from sales data and knowledge of the percent of consumers who are aware of the new product and find it available. Competitive diagnostics, such as the angle of attack, are introduced to help the defending manager. This article was originally published in Marketing Science, Volume 2, Issue 4, pages 319--360, in 1983."
1493,53e99818b7602d970203137a,Robust Asset Allocation,"['robust optimization', 'mean-variance optimization', 'saddle-point problems']","['Point estimation', 'Econometrics', 'Mathematical optimization', 'Economics', 'Robust optimization', 'Optimal allocation', 'Asset allocation', 'Theory of computation']","This article addresses the problem of finding an optimal allocation of funds among different asset classes in a robust manner
 when the estimates of the structure of returns are unreliable. Instead of point estimates used in classical mean-variance
 optimization, moments of returns are described using uncertainty sets that contain all, or most, of their possible realizations. The approach presented here takes a conservative viewpoint and
 identifies asset mixes that have the best worst-case behavior. Techniques for generating uncertainty sets from historical
 data are discussed and numerical results that illustrate the stability of robust optimal asset mixes are reported."
1622,53e9981db7602d9702039959,Software growth options,"['business process', 'IT investment', 'software growth option', 'flexible response', 'business environment', 'quantitative IT investment decision', 'IT platform', 'general conclusion', 'particular base system', 'real options model']","['Information system', 'Economics', 'Actuarial science', 'Business process', 'Flexible response', 'Business environment', 'Capital budgeting', 'Software', 'It investment', 'Decision model', 'Industrial organization']","Today's business environment is characterized by global competition and buyers' markets. Under such conditions, flexible response to changes in the environment is a key success factor for any firm. Consequently, there is increasing pressure for information systems to be readily adaptable to changing business processes. This paper investigates ways of introducing this aspect of IS extendability into quantitative IT investment decision models via the application of real options models. In particular, it examines methods for evaluating sequential exchange options in order to obtain estimates for the value of software growth options--that is, IS functions that are embedded in an IT platform and that can be employed once the particular base system is installed and their use is economically justified. On the basis of these models, we look at the determinants of the value of software growth options and draw general conclusions with regard to decision making in the field of IT investment."
1800,53e99822b7602d9702042983,Supplier switching decisions,"['Purchasing', 'Supplier switching', 'Information asymmetry', 'Decision analysis']","['Decision analysis', 'Economics', 'Information asymmetry', 'Supplier relationship management', 'Cost price', 'Profitability index', 'Purchasing', 'Strategic sourcing', 'Industrial organization', 'Marketing', 'Economies of scale']","In order to maximize profit, a buying firm should continuously search for and access sources which offer more favorable prices. While the literature is replete with works on the formation and development of buyer–supplier relationships, there is surprisingly only scarce research on the termination of such relationships and supplier switching. Using the concept of switching costs in a principal-agent framework, we at first analyze whether a firm switches the entire or a partial quantity to an alternative supplier when there is either symmetric or asymmetric information about the alternative supplier’s cost structure. Information asymmetry results in inert supplier switching decisions. Subsequently, we extend our model and take competitive reactions of the incumbent supplier and economies of scale effects into consideration. We find conditions under which ‘no’, ‘partial’ and ‘complete’ switching occurs, which depend on the buying firm’s beliefs about the alternative supplier’s unit costs, switching costs, the price offered by the incumbent supplier, and refinements of the price offered by the incumbent supplier due to competitive reactions and economies of scale. Broader implications for supplier relationship management and sourcing strategy decisions are also provided."
1869,53e99822b7602d97020455be,Trading as Entertainment?,"['portfolio turnover', 'german brokerage client', 'excessive trading puzzle', 'cross-sectional regression', 'actual trading record', 'objective investor', 'nonpecuniary benefit', 'survey response', 'entertainment attribute', 'additional explanatory variable', 'cross section', 'total variation']","['Turnover', 'Economics', 'Entertainment', 'CPU cache', 'Microeconomics', 'Decision support system', 'Stock exchange', 'Portfolio', 'Overconfidence effect', 'Marketing', 'German']","Among 1,000 German brokerage clients for whom both survey responses and actual trading records are available, investors who report enjoying investing or gambling turn over their portfolio at twice the rate of their peers. Including entertainment attributes as additional explanatory variables in cross-sectional regressions of portfolio turnover on objective investor attributes more than doubles the fraction of the total variation of portfolio turnover that can be explained. The results are robust to controlling for gender and proxies for overconfidence constructed from survey responses. Nonpecuniary benefits of trading thus appear to offer a straightforward explanation of the “excessive trading puzzle.”"
1934,53e99827b7602d970204b398,Pricing combinatorial auctions,"['Combinatorial auction', 'Bidding', 'Pricing', 'Incentive compatibility']","['Economics', 'Incentive compatibility', 'Combinatorial auction', 'Microeconomics', 'Common value auction', 'Bidding', 'Bundle', 'Individual item']","Single-item auctions have many desirable properties. Mechanisms exist to ensure optimality, incentive compatibility and market-clearing prices. When multiple items are offered through individual auctions, a bidder wanting a bundle of items faces an exposure problem if the bidder places a high value on a combination of goods but a low value on strict subsets of the desired collection. To remedy this, combinatorial auctions permit bids on bundles of goods. However, combinatorial auctions are hard to optimize and may not have incentive compatible mechanisms or market-clearing individual item prices. Several papers give approaches to provide incentive compatibility and imputed, individual prices. We find the relationships between these approaches and analyze their advantages and disadvantages."
2211,53e99838b7602d970205fc22,Optimal crowdsourcing contests,"['contestant skill', 'conventional method', 'crowdsourcing contest', 'virtual valuation optimizer', 'virtual valuation function', 'all-pay auction', 'conventional mean', 'optimal auction design', 'usual design objective', 'optimal crowdsourcing contest']","['Revenue', 'Economics', 'Crowdsourcing', 'CONTEST', 'Microeconomics', 'All-pay auction', 'Common value auction', 'Procurement', 'Valuation (finance)', 'Marketing', 'Design objective', 'Disadvantaged']","We study the design and approximation of optimal crowdsourcing contests. Crowdsourcing contests can be modeled as all-pay auctions because entrants must exert effort up-front to enter. Unlike all-pay auctions where a usual design objective would be to maximize revenue, in crowdsourcing contests, the principal only benefits from the submission with the highest quality. We give a theory for optimal crowdsourcing contests that mirrors the theory of optimal auction design: the optimal crowdsourcing contest is a virtual valuation optimizer (the virtual valuation function depends on the distribution of contestant skills and the number of contestants). We also compare crowdsourcing contests with more conventional means of procurement. In this comparison, crowdsourcing contests are relatively disadvantaged because the effort of losing contestants is wasted. Nonetheless, we show that crowdsourcing contests are 2-approximations to conventional methods for a large family of ""regular"" distributions, and 4-approximations, otherwise."
2274,53e9983db7602d9702063f09,Online Labor Markets,"['business strategy', 'online labor', 'price level', 'informational asymmetry', 'online labor market', 'labor market intermediary', 'institutional support', 'price structure', 'global pool', 'market creator', 'information asymmetry', 'electronic commerce']","['Market economy', 'Economics', 'Market clearing', 'Price level', 'Price structure', 'Demand curve', 'Institutional support', 'Welfare']","
 In recent years, a number of online labor markets have emerged that allow workers from around the world to sell their labor
 to an equally global pool of buyers. The creators of these markets play the role of labor market intermediary by providing
 institutional support and remedying informational asymmetries. In this paper, I explore market creators’ choices of price
 structure, price level and investment in platforms. I also discuss competition among markets and the business strategies employed
 by market creators. The paper concludes with a discussion of the productivity and welfare effects of online labor.
 
 "
2316,53e9983db7602d9702066ef4,Optimal Commodity Trading with a Capacitated Storage Asset,"['optimal commodity trading', 'capacitated storage asset', 'commodity spot price', 'risk-neutral merchant', 'optimal trading policy', 'optimal basestock target', 'optimal inventory-trading policy', 'price uncertainty', 'commodity price', 'merchant management', 'optimal policy', 'significant value loss', 'natural gas', 'petroleum', 'dynamic programming', 'policies', 'inventory', 'trade policy', 'production', 'finance', 'natural resource', 'asset pricing', 'markov process', 'markov']","['Production manager', 'Economics', 'Markov process', 'Spot contract', 'Project portfolio management', 'Commodity', 'Microeconomics', 'Capital asset pricing model', 'Inventory control', 'Energy source']","This paper considers the so-called warehouse problem with both space and injection/withdrawal capacity limits. This is a foundational problem in the merchant management of assets for the storage of commodities, such as energy sources and natural resources. When the commodity spot price evolves according to an exogenous Markov process, this work shows that the optimal inventory-trading policy of a risk-neutral merchant is characterized by two stage and spot-price dependent basestock targets. Under some assumptions, these targets are monotone in the spot price and partition the available inventory and spot-price space in each stage into three regions, where it is, respectively, optimal to buy and inject, do nothing, and withdraw and sell. In some cases of practical importance, one can easily compute the optimal basestock targets. The structure of the optimal policy is nontrivial because in each stage the merchant's qualification of high (selling) and low (buying) commodity prices in general depends on the merchant's inventory availability. This is a consequence of the interplay between the capacity and space limits of the storage asset and brings to light the nontrivial nature of the interface between trading and operations. A computational analysis based on natural gas data shows that mismanaging this interface can yield significant value losses. Moreover, adapting the merchant's optimal trading policy to the spot-price stochastic evolution has substantial value. This value can be almost entirely generated by reacting to the unfolding of price uncertainty, that is, by sequentially reoptimizing a model that ignores this source of uncertainty."
